place,category,prcof,HHTYP,amount,Flag and Footnotes
Netherlands,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Austria,Device for internet access: desktop or portable computer,Percentage of households,Total,79,
Austria,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,98,
Austria,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Austria,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Austria,Device for internet access: handheld computer,Percentage of households,Total,0,
Austria,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Austria,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Austria,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Poland,Device for internet access: desktop or portable computer,Percentage of households,Total,73,
Poland,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,98,
Poland,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Poland,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Poland,Device for internet access: handheld computer,Percentage of households,Total,0,
Poland,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Poland,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Poland,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Portugal,Device for internet access: desktop or portable computer,Percentage of households,Total,63,
Portugal,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,97,
Portugal,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Portugal,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Portugal,Device for internet access: handheld computer,Percentage of households,Total,0,
Portugal,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Portugal,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Portugal,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Romania,Device for internet access: desktop or portable computer,Percentage of households,Total,59,b
Romania,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,97,b
Romania,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Romania,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Romania,Device for internet access: handheld computer,Percentage of households,Total,0,
Romania,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Romania,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Romania,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Slovenia,Device for internet access: desktop or portable computer,Percentage of households,Total,75,
Slovenia,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,98,
Slovenia,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Slovenia,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Slovenia,Device for internet access: handheld computer,Percentage of households,Total,0,
Slovenia,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Slovenia,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Slovenia,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Slovakia,Device for internet access: desktop or portable computer,Percentage of households,Total,77,
Slovakia,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,98,
Slovakia,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Slovakia,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Slovakia,Device for internet access: handheld computer,Percentage of households,Total,0,
Slovakia,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Slovakia,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Slovakia,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Finland,Device for internet access: desktop or portable computer,Percentage of households,Total,87,
Finland,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,96,
Finland,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Finland,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Finland,Device for internet access: handheld computer,Percentage of households,Total,0,
Finland,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Finland,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Finland,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Sweden,Device for internet access: desktop or portable computer,Percentage of households,Total,87,
Sweden,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,97,
Sweden,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Sweden,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Sweden,Device for internet access: handheld computer,Percentage of households,Total,0,
Sweden,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Sweden,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Sweden,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
United Kingdom,Device for internet access: desktop or portable computer,Percentage of households,Total,87,
United Kingdom,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,96,
United Kingdom,Device for internet access: TV set with internet device,Percentage of households,Total,:,
United Kingdom,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
United Kingdom,Device for internet access: handheld computer,Percentage of households,Total,0,
United Kingdom,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
United Kingdom,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
United Kingdom,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Iceland,Device for internet access: desktop or portable computer,Percentage of households,Total,96,
Iceland,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,99,
Iceland,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Iceland,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Iceland,Device for internet access: handheld computer,Percentage of households,Total,0,
Iceland,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Iceland,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Iceland,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Norway,Device for internet access: desktop or portable computer,Percentage of households,Total,92,
Norway,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,98,
Norway,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Norway,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Norway,Device for internet access: handheld computer,Percentage of households,Total,0,
Norway,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Norway,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Norway,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Switzerland,Device for internet access: desktop or portable computer,Percentage of households,Total,89,
Switzerland,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,98,
Switzerland,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Switzerland,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Switzerland,Device for internet access: handheld computer,Percentage of households,Total,0,
Switzerland,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Switzerland,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Switzerland,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
"Former Yugoslav Republic of Macedonia, the",Device for internet access: desktop or portable computer,Percentage of households,Total,66,
"Former Yugoslav Republic of Macedonia, the",Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,97,
"Former Yugoslav Republic of Macedonia, the",Device for internet access: TV set with internet device,Percentage of households,Total,0,
"Former Yugoslav Republic of Macedonia, the",Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
"Former Yugoslav Republic of Macedonia, the",Device for internet access: handheld computer,Percentage of households,Total,0,
"Former Yugoslav Republic of Macedonia, the",Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
"Former Yugoslav Republic of Macedonia, the","Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
"Former Yugoslav Republic of Macedonia, the","Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Serbia,Device for internet access: desktop or portable computer,Percentage of households,Total,0,
Serbia,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,0,
Serbia,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Serbia,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Serbia,Device for internet access: handheld computer,Percentage of households,Total,0,
Serbia,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Serbia,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Serbia,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Turkey,Device for internet access: desktop or portable computer,Percentage of households,Total,42,
Turkey,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,70,
Turkey,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Turkey,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Turkey,Device for internet access: handheld computer,Percentage of households,Total,0,
Turkey,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Turkey,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Turkey,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
